NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS	87	78		
STING PATHWAY IN KAWASAKI-LIKE DISEASE AND COVID-19%WIKIPATHWAYS_20210210%WP4961%HOMO SAPIENS	21	15		
COLCHICINE METABOLIC PATHWAY%WIKIPATHWAYS_20210210%WP2536%HOMO SAPIENS	1		Rejected!	
TOLL-LIKE RECEPTOR SIGNALING RELATED TO MYD88%WIKIPATHWAYS_20210210%WP3858%HOMO SAPIENS	28	24		
IRINOTECAN PATHWAY%WIKIPATHWAYS_20210210%WP229%HOMO SAPIENS	12		Rejected!	
COMPOSITION OF LIPID PARTICLES%WIKIPATHWAYS_20210210%WP3601%HOMO SAPIENS	7		Rejected!	
NANOPARTICLE TRIGGERED REGULATED NECROSIS%WIKIPATHWAYS_20210210%WP2513%HOMO SAPIENS	10		Rejected!	
15Q13.3 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4942%HOMO SAPIENS	15		Rejected!	
ESC PLURIPOTENCY PATHWAYS%WIKIPATHWAYS_20210210%WP3931%HOMO SAPIENS	100	60		
APOE AND MIR-146 IN INFLAMMATION AND ATHEROSCLEROSIS%WIKIPATHWAYS_20210210%WP3926%HOMO SAPIENS	7		Rejected!	
EBOLA VIRUS PATHWAY ON HOST%WIKIPATHWAYS_20210210%WP4217%HOMO SAPIENS	115	94		
CANCER IMMUNOTHERAPY BY PD-1 BLOCKADE%WIKIPATHWAYS_20210210%WP4585%HOMO SAPIENS	22		Rejected!	
IL-1 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP195%HOMO SAPIENS	47	39		
GLYCEROLIPIDS AND GLYCEROPHOSPHOLIPIDS%WIKIPATHWAYS_20210210%WP4722%HOMO SAPIENS	20	16		
MEVALONATE ARM OF CHOLESTEROL BIOSYNTHESIS PATHWAY WITH INHIBITORS%WIKIPATHWAYS_20210210%WP4189%HOMO SAPIENS	1		Rejected!	
MIRNA REGULATION OF DNA DAMAGE RESPONSE%WIKIPATHWAYS_20210210%WP1530%HOMO SAPIENS	61	51		
NAD+ METABOLISM%WIKIPATHWAYS_20210210%WP3644%HOMO SAPIENS	15		Rejected!	
CILIOPATHIES%WIKIPATHWAYS_20210210%WP4803%HOMO SAPIENS	155	125		
DNA DAMAGE RESPONSE%WIKIPATHWAYS_20210210%WP707%HOMO SAPIENS	58	48		
CEREBRAL ORGANIC ACIDURIAS, INCLUDING DISEASES%WIKIPATHWAYS_20210210%WP4519%HOMO SAPIENS	6		Rejected!	
GPCRS, CLASS B SECRETIN-LIKE%WIKIPATHWAYS_20210210%WP334%HOMO SAPIENS	18		Rejected!	
MIRNAS INVOLVED IN DNA DAMAGE RESPONSE%WIKIPATHWAYS_20210210%WP1545%HOMO SAPIENS	10		Rejected!	
BREAST CANCER PATHWAY%WIKIPATHWAYS_20210210%WP4262%HOMO SAPIENS	138	92		
GLYCOLYSIS IN SENESCENCE%WIKIPATHWAYS_20210210%WP5049%HOMO SAPIENS	8		Rejected!	
CELL CYCLE%WIKIPATHWAYS_20210210%WP179%HOMO SAPIENS	96	74		
KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS	55	48		
GENES INVOLVED IN MALE INFERTILITY%WIKIPATHWAYS_20210210%WP4673%HOMO SAPIENS	109	59		
HOST-PATHOGEN INTERACTION OF HUMAN CORONA VIRUSES - MAPK SIGNALING%WIKIPATHWAYS_20210210%WP4877%HOMO SAPIENS	33	31		
SMALL LIGAND GPCRS%WIKIPATHWAYS_20210210%WP247%HOMO SAPIENS	18		Rejected!	
PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 9 (PCSK9) MEDIATED LDL RECEPTOR DEGRADATION%WIKIPATHWAYS_20210210%WP2846%HOMO SAPIENS	2		Rejected!	
SLEEP REGULATION%WIKIPATHWAYS_20210210%WP3591%HOMO SAPIENS	35		Rejected!	
METHIONINE DE NOVO AND SALVAGE PATHWAY%WIKIPATHWAYS_20210210%WP3580%HOMO SAPIENS	18	15		
PATHWAYS OF NUCLEIC ACID METABOLISM AND INNATE IMMUNE SENSING%WIKIPATHWAYS_20210210%WP4705%HOMO SAPIENS	15		Rejected!	
STRUCTURAL PATHWAY OF INTERLEUKIN 1 (IL-1)%WIKIPATHWAYS_20210210%WP2637%HOMO SAPIENS	41	38		
NEOVASCULARISATION PROCESSES%WIKIPATHWAYS_20210210%WP4331%HOMO SAPIENS	30	23		
DIRECT REVERSAL REPAIR%WIKIPATHWAYS_20210210%WP4931%HOMO SAPIENS	2		Rejected!	
FTO OBESITY VARIANT MECHANISM%WIKIPATHWAYS_20210210%WP3407%HOMO SAPIENS	7		Rejected!	
RETINOBLASTOMA GENE IN CANCER%WIKIPATHWAYS_20210210%WP2446%HOMO SAPIENS	69	56		
VITAMIN B12 DISORDERS%WIKIPATHWAYS_20210210%WP4271%HOMO SAPIENS	11		Rejected!	
VITAMIN D METABOLISM%WIKIPATHWAYS_20210210%WP1531%HOMO SAPIENS	10		Rejected!	
NCRNAS INVOLVED IN STAT3 SIGNALING IN HEPATOCELLULAR CARCINOMA%WIKIPATHWAYS_20210210%WP4337%HOMO SAPIENS	11		Rejected!	
GENE REGULATORY NETWORK MODELLING SOMITOGENESIS %WIKIPATHWAYS_20210210%WP2854%HOMO SAPIENS	10		Rejected!	
INTERLEUKIN-1 INDUCED ACTIVATION OF NF-KAPPA-B%WIKIPATHWAYS_20210210%WP3656%HOMO SAPIENS	10		Rejected!	
INTEGRATED CANCER PATHWAY%WIKIPATHWAYS_20210210%WP1971%HOMO SAPIENS	37	33		
TRANSCRIPTION CO-FACTORS SKI AND SKIL PROTEIN PARTNERS%WIKIPATHWAYS_20210210%WP4533%HOMO SAPIENS	11		Rejected!	
PYRIMIDINE METABOLISM AND RELATED DISEASES%WIKIPATHWAYS_20210210%WP4225%HOMO SAPIENS	14		Rejected!	
MITOCHONDRIAL LC-FATTY ACID BETA-OXIDATION%WIKIPATHWAYS_20210210%WP368%HOMO SAPIENS	12		Rejected!	
SECRETION OF HYDROCHLORIC ACID IN PARIETAL CELLS%WIKIPATHWAYS_20210210%WP2597%HOMO SAPIENS	5		Rejected!	
NEUROTRANSMITTER DISORDERS%WIKIPATHWAYS_20210210%WP4220%HOMO SAPIENS	4		Rejected!	
MELANOMA%WIKIPATHWAYS_20210210%WP4685%HOMO SAPIENS	55	45		
DIFFERENTIATION PATHWAY%WIKIPATHWAYS_20210210%WP2848%HOMO SAPIENS	42		Rejected!	
REGULATION OF ACTIN CYTOSKELETON%WIKIPATHWAYS_20210210%WP51%HOMO SAPIENS	122	77		
NOTCH1 REGULATION OF HUMAN ENDOTHELIAL CELL CALCIFICATION%WIKIPATHWAYS_20210210%WP3413%HOMO SAPIENS	14		Rejected!	
CELLULAR PROTEOSTASIS%WIKIPATHWAYS_20210210%WP4918%HOMO SAPIENS	6		Rejected!	
RAS AND BRADYKININ PATHWAYS IN COVID-19%WIKIPATHWAYS_20210210%WP4969%HOMO SAPIENS	23		Rejected!	
REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP1449%HOMO SAPIENS	123	79		
OXIDATIVE STRESS%WIKIPATHWAYS_20210210%WP408%HOMO SAPIENS	27	19		
MIRNA BIOGENESIS%WIKIPATHWAYS_20210210%WP2338%HOMO SAPIENS	6		Rejected!	
BUTYRATE-INDUCED HISTONE ACETYLATION%WIKIPATHWAYS_20210210%WP2366%HOMO SAPIENS	1		Rejected!	
VITAMIN D RECEPTOR PATHWAY%WIKIPATHWAYS_20210210%WP2877%HOMO SAPIENS	166	77		
RAS SIGNALING%WIKIPATHWAYS_20210210%WP4223%HOMO SAPIENS	147	93		
RELATIONSHIP BETWEEN INFLAMMATION, COX-2 AND EGFR%WIKIPATHWAYS_20210210%WP4483%HOMO SAPIENS	17	15		
PHOTODYNAMIC THERAPY-INDUCED NF-KB SURVIVAL SIGNALING%WIKIPATHWAYS_20210210%WP3617%HOMO SAPIENS	32	16		
FATTY ACID OMEGA OXIDATION%WIKIPATHWAYS_20210210%WP206%HOMO SAPIENS	14		Rejected!	
BASE EXCISION REPAIR%WIKIPATHWAYS_20210210%WP4752%HOMO SAPIENS	26	24		
GASTRIC CANCER NETWORK 2%WIKIPATHWAYS_20210210%WP2363%HOMO SAPIENS	27	22		
GLYCOGEN SYNTHESIS AND DEGRADATION%WIKIPATHWAYS_20210210%WP500%HOMO SAPIENS	30	22		
MAMMARY GLAND DEVELOPMENT PATHWAY - PREGNANCY AND LACTATION (STAGE 3 OF 4)%WIKIPATHWAYS_20210210%WP2817%HOMO SAPIENS	27	18		
CLASSICAL PATHWAY OF STEROIDOGENESIS WITH GLUCOCORTICOID AND MINERALOCORTICOID METABOLISM%WIKIPATHWAYS_20210210%WP4523%HOMO SAPIENS	13		Rejected!	
FLUOROACETIC ACID TOXICITY%WIKIPATHWAYS_20210210%WP4966%HOMO SAPIENS	6		Rejected!	
LTF DANGER SIGNAL RESPONSE PATHWAY%WIKIPATHWAYS_20210210%WP4478%HOMO SAPIENS	17		Rejected!	
4-HYDROXYTAMOXIFEN, DEXAMETHASONE, AND RETINOIC ACIDS REGULATION OF P27 EXPRESSION%WIKIPATHWAYS_20210210%WP3879%HOMO SAPIENS	16	15		
TGF-BETA RECEPTOR SIGNALING%WIKIPATHWAYS_20210210%WP560%HOMO SAPIENS	50	34		
PTF1A RELATED REGULATORY PATHWAY%WIKIPATHWAYS_20210210%WP4147%HOMO SAPIENS	11		Rejected!	
DDX1 AS A REGULATORY COMPONENT OF THE DROSHA MICROPROCESSOR%WIKIPATHWAYS_20210210%WP2942%HOMO SAPIENS	7		Rejected!	
TYROSINE METABOLISM%WIKIPATHWAYS_20210210%WP4506%HOMO SAPIENS	1		Rejected!	
HEME BIOSYNTHESIS%WIKIPATHWAYS_20210210%WP561%HOMO SAPIENS	7		Rejected!	
ARACHIDONATE EPOXYGENASE / EPOXIDE HYDROLASE%WIKIPATHWAYS_20210210%WP678%HOMO SAPIENS	7		Rejected!	
GALANIN RECEPTOR PATHWAY%WIKIPATHWAYS_20210210%WP4970%HOMO SAPIENS	19		Rejected!	
OMEGA-3/OMEGA-6 FA SYNTHESIS%WIKIPATHWAYS_20210210%WP4723%HOMO SAPIENS	13		Rejected!	
TGIF DISRUPTION OF SHH SIGNALING%WIKIPATHWAYS_20210210%WP3674%HOMO SAPIENS	9		Rejected!	
P38 MAPK SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP400%HOMO SAPIENS	27	25		
METASTATIC BRAIN TUMOR%WIKIPATHWAYS_20210210%WP2249%HOMO SAPIENS	5		Rejected!	
CELLS AND MOLECULES INVOLVED IN LOCAL ACUTE INFLAMMATORY RESPONSE %WIKIPATHWAYS_20210210%WP4493%HOMO SAPIENS	12		Rejected!	
T-CELL RECEPTOR AND CO-STIMULATORY SIGNALING%WIKIPATHWAYS_20210210%WP2583%HOMO SAPIENS	24	17		
REGULATION OF SISTER CHROMATID SEPARATION AT THE METAPHASE-ANAPHASE TRANSITION%WIKIPATHWAYS_20210210%WP4240%HOMO SAPIENS	13		Rejected!	
GENES CONTROLLING NEPHROGENESIS%WIKIPATHWAYS_20210210%WP4823%HOMO SAPIENS	38	18		
ATM SIGNALING NETWORK IN DEVELOPMENT AND DISEASE %WIKIPATHWAYS_20210210%WP3878%HOMO SAPIENS	41	34		
NCRNAS INVOLVED IN WNT SIGNALING IN HEPATOCELLULAR CARCINOMA%WIKIPATHWAYS_20210210%WP4336%HOMO SAPIENS	75	42		
PPAR ALPHA PATHWAY%WIKIPATHWAYS_20210210%WP2878%HOMO SAPIENS	24		Rejected!	
AMPLIFICATION AND EXPANSION OF ONCOGENIC PATHWAYS AS METASTATIC TRAITS%WIKIPATHWAYS_20210210%WP3678%HOMO SAPIENS	12		Rejected!	
MYOMETRIAL RELAXATION AND CONTRACTION PATHWAYS%WIKIPATHWAYS_20210210%WP289%HOMO SAPIENS	122	71		
MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20210210%WP2857%HOMO SAPIENS	126	80		
SYNTHESIS AND DEGRADATION OF KETONE BODIES%WIKIPATHWAYS_20210210%WP311%HOMO SAPIENS	3		Rejected!	
KENNEDY PATHWAY FROM SPHINGOLIPIDS%WIKIPATHWAYS_20210210%WP3933%HOMO SAPIENS	12		Rejected!	
BIOMARKERS FOR UREA CYCLE DISORDERS%WIKIPATHWAYS_20210210%WP4583%HOMO SAPIENS	10		Rejected!	
SCFA AND SKELETAL MUSCLE SUBSTRATE METABOLISM%WIKIPATHWAYS_20210210%WP4030%HOMO SAPIENS	6		Rejected!	
FABP4 IN OVARIAN CANCER%WIKIPATHWAYS_20210210%WP4400%HOMO SAPIENS	1		Rejected!	
ETHANOL METABOLISM RESULTING IN PRODUCTION OF ROS BY CYP2E1%WIKIPATHWAYS_20210210%WP4269%HOMO SAPIENS	10		Rejected!	
UNFOLDED PROTEIN RESPONSE%WIKIPATHWAYS_20210210%WP4925%HOMO SAPIENS	21	15		
OSTEOCLAST SIGNALING%WIKIPATHWAYS_20210210%WP12%HOMO SAPIENS	14		Rejected!	
GPCRS, CLASS A RHODOPSIN-LIKE%WIKIPATHWAYS_20210210%WP455%HOMO SAPIENS	235	30		
TRANSCRIPTIONAL CASCADE REGULATING ADIPOGENESIS%WIKIPATHWAYS_20210210%WP4211%HOMO SAPIENS	12		Rejected!	
ENERGY METABOLISM%WIKIPATHWAYS_20210210%WP1541%HOMO SAPIENS	44	38		
COMPLEMENT ACTIVATION%WIKIPATHWAYS_20210210%WP545%HOMO SAPIENS	17		Rejected!	
CANONICAL AND NON-CANONICAL TGF-B SIGNALING%WIKIPATHWAYS_20210210%WP3874%HOMO SAPIENS	16		Rejected!	
ENDOCHONDRAL OSSIFICATION WITH SKELETAL DYSPLASIAS%WIKIPATHWAYS_20210210%WP4808%HOMO SAPIENS	54	29		
THE ALTERNATIVE PATHWAY OF FETAL ANDROGEN SYNTHESIS%WIKIPATHWAYS_20210210%WP4524%HOMO SAPIENS	10		Rejected!	
PROXIMAL TUBULE TRANSPORT%WIKIPATHWAYS_20210210%WP4917%HOMO SAPIENS	47	21		
INSULIN SIGNALING%WIKIPATHWAYS_20210210%WP481%HOMO SAPIENS	136	112		
NICOTINE ACTIVITY ON CHROMAFFIN CELLS%WIKIPATHWAYS_20210210%WP1603%HOMO SAPIENS	4		Rejected!	
ALPHA 6 BETA 4 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP244%HOMO SAPIENS	28	25		
PHASE I BIOTRANSFORMATIONS, NON P450%WIKIPATHWAYS_20210210%WP136%HOMO SAPIENS	8		Rejected!	
EXERCISE-INDUCED CIRCADIAN REGULATION%WIKIPATHWAYS_20210210%WP410%HOMO SAPIENS	36	25		
FELBAMATE METABOLISM%WIKIPATHWAYS_20210210%WP2816%HOMO SAPIENS	2		Rejected!	
SUPRESSION OF HMGB1 MEDIATED INFLAMMATION BY THBD%WIKIPATHWAYS_20210210%WP4479%HOMO SAPIENS	8		Rejected!	
INTRACELLULAR TRAFFICKING PROTEINS INVOLVED IN CMT NEUROPATHY%WIKIPATHWAYS_20210210%WP4856%HOMO SAPIENS	25	16		
PROLACTIN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2037%HOMO SAPIENS	68	58		
EICOSANOID METABOLISM VIA CYCLO OXYGENASES (COX)%WIKIPATHWAYS_20210210%WP4719%HOMO SAPIENS	28		Rejected!	
AUTOSOMAL RECESSIVE OSTEOPETROSIS PATHWAYS%WIKIPATHWAYS_20210210%WP4788%HOMO SAPIENS	11		Rejected!	
TYPE III INTERFERON SIGNALING%WIKIPATHWAYS_20210210%WP2113%HOMO SAPIENS	10		Rejected!	
15Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4940%HOMO SAPIENS	8		Rejected!	
METABOLISM OF SPINGOLIPIDS IN ER AND GOLGI APPARATUS%WIKIPATHWAYS_20210210%WP4142%HOMO SAPIENS	19		Rejected!	
OVARIAN INFERTILITY GENES%WIKIPATHWAYS_20210210%WP34%HOMO SAPIENS	26		Rejected!	
MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20210210%WP3981%HOMO SAPIENS	28	27		
NAD METABOLISM, SIRTUINS AND AGING%WIKIPATHWAYS_20210210%WP3630%HOMO SAPIENS	11		Rejected!	
POLYOL PATHWAY%WIKIPATHWAYS_20210210%WP690%HOMO SAPIENS	3		Rejected!	
HOST-PATHOGEN INTERACTION OF HUMAN CORONA VIRUSES - APOPTOSIS%WIKIPATHWAYS_20210210%WP4864%HOMO SAPIENS	18		Rejected!	
LAMIN A-PROCESSING PATHWAY%WIKIPATHWAYS_20210210%WP4299%HOMO SAPIENS	2		Rejected!	
ID SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP53%HOMO SAPIENS	13		Rejected!	
INTEGRIN-MEDIATED CELL ADHESION%WIKIPATHWAYS_20210210%WP185%HOMO SAPIENS	80	63		
MECHANOREGULATION AND PATHOLOGY OF YAP/TAZ VIA HIPPO AND NON-HIPPO MECHANISMS%WIKIPATHWAYS_20210210%WP4534%HOMO SAPIENS	34	26		
BIOMARKERS FOR PYRIMIDINE METABOLISM DISORDERS%WIKIPATHWAYS_20210210%WP4584%HOMO SAPIENS	12		Rejected!	
VEGFA-VEGFR2 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP3888%HOMO SAPIENS	362		Rejected!	
REGUCALCIN IN PROXIMAL TUBULE EPITHELIAL KIDNEY CELLS%WIKIPATHWAYS_20210210%WP4838%HOMO SAPIENS	30	21		
STRIATED MUSCLE CONTRACTION PATHWAY%WIKIPATHWAYS_20210210%WP383%HOMO SAPIENS	27		Rejected!	
CHOLESTEROL BIOSYNTHESIS WITH SKELETAL DYSPLASIAS%WIKIPATHWAYS_20210210%WP4804%HOMO SAPIENS	6		Rejected!	
MRNA PROCESSING%WIKIPATHWAYS_20210210%WP411%HOMO SAPIENS	105	90		
EGF/EGFR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP437%HOMO SAPIENS	127	107		
FGFR3 SIGNALLING IN CHONDROCYTE PROLIFERATION AND TERMINAL DIFFERENTIATION%WIKIPATHWAYS_20210210%WP4767%HOMO SAPIENS	27	19		
PI3K/AKT/MTOR - VITD3 SIGNALLING%WIKIPATHWAYS_20210210%WP4141%HOMO SAPIENS	20		Rejected!	
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20210210%WP2118%HOMO SAPIENS	62	36		
PRION DISEASE PATHWAY%WIKIPATHWAYS_20210210%WP3995%HOMO SAPIENS	31	22		
SOMITOGENESIS IN THE CONTEXT OF SPONDYLOCOSTAL DYSOSTOSIS%WIKIPATHWAYS_20210210%WP4785%HOMO SAPIENS	8		Rejected!	
SYNAPTIC VESICLE PATHWAY%WIKIPATHWAYS_20210210%WP2267%HOMO SAPIENS	42	19		
CHOLESTEROL METABOLISM (INCLUDES BOTH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS)%WIKIPATHWAYS_20210210%WP4718%HOMO SAPIENS	41	31		
EBV LMP1 SIGNALING%WIKIPATHWAYS_20210210%WP262%HOMO SAPIENS	20	15		
REGULATION OF WNT/B-CATENIN SIGNALING BY SMALL MOLECULE COMPOUNDS%WIKIPATHWAYS_20210210%WP3664%HOMO SAPIENS	16		Rejected!	
MAPK CASCADE%WIKIPATHWAYS_20210210%WP422%HOMO SAPIENS	30	29		
DISORDERS OF THE KREBS CYCLE%WIKIPATHWAYS_20210210%WP4236%HOMO SAPIENS	6		Rejected!	
P53 TRANSCRIPTIONAL GENE NETWORK%WIKIPATHWAYS_20210210%WP4963%HOMO SAPIENS	56	47		
STEROID BIOSYNTHESIS%WIKIPATHWAYS_20210210%WP496%HOMO SAPIENS	9		Rejected!	
TRIACYLGLYCERIDE SYNTHESIS%WIKIPATHWAYS_20210210%WP325%HOMO SAPIENS	20		Rejected!	
THE OVERLAP BETWEEN SIGNAL TRANSDUCTION PATHWAYS THAT CONTRIBUTE TO A RANGE OF LMNA LAMINOPATHIES%WIKIPATHWAYS_20210210%WP4879%HOMO SAPIENS	45	35		
MONOAMINE TRANSPORT%WIKIPATHWAYS_20210210%WP727%HOMO SAPIENS	26		Rejected!	
GANGLIO SPHINGOLIPID METABOLISM%WIKIPATHWAYS_20210210%WP1423%HOMO SAPIENS	11		Rejected!	
BMP SIGNALING PATHWAY IN EYELID DEVELOPMENT%WIKIPATHWAYS_20210210%WP3927%HOMO SAPIENS	20		Rejected!	
JOUBERT SYNDROME%WIKIPATHWAYS_20210210%WP4656%HOMO SAPIENS	65	54		
MITOCHONDRIAL CII ASSEMBLY%WIKIPATHWAYS_20210210%WP4920%HOMO SAPIENS	8		Rejected!	
GDNF/RET SIGNALLING AXIS%WIKIPATHWAYS_20210210%WP4830%HOMO SAPIENS	21		Rejected!	
APOPTOSIS MODULATION BY HSP70%WIKIPATHWAYS_20210210%WP384%HOMO SAPIENS	15		Rejected!	
NUCLEOTIDE GPCRS%WIKIPATHWAYS_20210210%WP80%HOMO SAPIENS	7		Rejected!	
ENVELOPE PROTEINS AND THEIR POTENTIAL ROLES IN EDMD PHYSIOPATHOLOGY%WIKIPATHWAYS_20210210%WP4535%HOMO SAPIENS	36	29		
MITOCHONDRIAL CIII ASSEMBLY%WIKIPATHWAYS_20210210%WP4921%HOMO SAPIENS	14		Rejected!	
INSULIN SIGNALLING IN HUMAN ADIPOCYTES (NORMAL CONDITION)%WIKIPATHWAYS_20210210%WP3634%HOMO SAPIENS	7		Rejected!	
DOPAMINERGIC NEUROGENESIS%WIKIPATHWAYS_20210210%WP2855%HOMO SAPIENS	27		Rejected!	
KETOGENESIS AND KETOLYSIS%WIKIPATHWAYS_20210210%WP4742%HOMO SAPIENS	5		Rejected!	
MAPK  AND NFKB SIGNALLING PATHWAYS INHIBITED BY YERSINIA YOPJ%WIKIPATHWAYS_20210210%WP3849%HOMO SAPIENS	12		Rejected!	
INHIBITION OF EXOSOME BIOGENESIS AND SECRETION BY MANUMYCIN A IN CRPC CELLS%WIKIPATHWAYS_20210210%WP4301%HOMO SAPIENS	16	16		
VITAMIN A AND CAROTENOID METABOLISM%WIKIPATHWAYS_20210210%WP716%HOMO SAPIENS	41	15		
RESISTIN AS A REGULATOR OF INFLAMMATION%WIKIPATHWAYS_20210210%WP4481%HOMO SAPIENS	27	19		
BONE MORPHOGENIC PROTEIN (BMP) SIGNALLING AND REGULATION%WIKIPATHWAYS_20210210%WP1425%HOMO SAPIENS	11		Rejected!	
INTRAFLAGELLAR TRANSPORT PROTEINS BINDING TO DYNEIN%WIKIPATHWAYS_20210210%WP4532%HOMO SAPIENS	22		Rejected!	
CANCER IMMUNOTHERAPY BY CTLA4 BLOCKADE%WIKIPATHWAYS_20210210%WP4582%HOMO SAPIENS	11		Rejected!	
7Q11.23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4932%HOMO SAPIENS	82	50		
DNA MISMATCH REPAIR%WIKIPATHWAYS_20210210%WP531%HOMO SAPIENS	17	15		
HORMONAL CONTROL OF PUBERTAL GROWTH SPURT%WIKIPATHWAYS_20210210%WP4194%HOMO SAPIENS	2		Rejected!	
TGF-BETA RECEPTOR SIGNALLING IN SKELETAL DYSPLASIAS%WIKIPATHWAYS_20210210%WP4816%HOMO SAPIENS	53	35		
EVOLOCUMAB MECHANISM%WIKIPATHWAYS_20210210%WP3408%HOMO SAPIENS	2		Rejected!	
FOCAL ADHESION-PI3K-AKT-MTOR-SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP3932%HOMO SAPIENS	256	155		
GLOBO SPHINGOLIPID METABOLISM%WIKIPATHWAYS_20210210%WP1424%HOMO SAPIENS	19		Rejected!	
MAJOR RECEPTORS TARGETED BY EPINEPHRINE AND NOREPINEPHRINE%WIKIPATHWAYS_20210210%WP4589%HOMO SAPIENS	11		Rejected!	
NUCLEAR RECEPTORS IN LIPID METABOLISM AND TOXICITY%WIKIPATHWAYS_20210210%WP299%HOMO SAPIENS	33	15		
DNA IR-DAMAGE AND CELLULAR RESPONSE VIA ATR%WIKIPATHWAYS_20210210%WP4016%HOMO SAPIENS	69	58		
LEPTIN INSULIN OVERLAP%WIKIPATHWAYS_20210210%WP3935%HOMO SAPIENS	13		Rejected!	
SULINDAC METABOLIC PATHWAY%WIKIPATHWAYS_20210210%WP2542%HOMO SAPIENS	5		Rejected!	
LUNG FIBROSIS%WIKIPATHWAYS_20210210%WP3624%HOMO SAPIENS	55	20		
T-CELL ANTIGEN RECEPTOR (TCR) PATHWAY DURING STAPHYLOCOCCUS AUREUS INFECTION%WIKIPATHWAYS_20210210%WP3863%HOMO SAPIENS	55	36		
CANONICAL NF-KB PATHWAY%WIKIPATHWAYS_20210210%WP4562%HOMO SAPIENS	8		Rejected!	
ENDOTHELIN PATHWAYS%WIKIPATHWAYS_20210210%WP2197%HOMO SAPIENS	32	19		
MAPK SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP382%HOMO SAPIENS	193	124		
OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20210210%WP623%HOMO SAPIENS	52	34		
PARKIN-UBIQUITIN PROTEASOMAL SYSTEM PATHWAY%WIKIPATHWAYS_20210210%WP2359%HOMO SAPIENS	53	38		
ALANINE AND ASPARTATE METABOLISM%WIKIPATHWAYS_20210210%WP106%HOMO SAPIENS	10		Rejected!	
STATIN PATHWAY%WIKIPATHWAYS_20210210%WP430%HOMO SAPIENS	26		Rejected!	
MATRIX METALLOPROTEINASES%WIKIPATHWAYS_20210210%WP129%HOMO SAPIENS	26		Rejected!	
CYTOKINES AND INFLAMMATORY RESPONSE%WIKIPATHWAYS_20210210%WP530%HOMO SAPIENS	25		Rejected!	
EDA SIGNALLING IN HAIR FOLLICLE DEVELOPMENT%WIKIPATHWAYS_20210210%WP3930%HOMO SAPIENS	11		Rejected!	
METAPATHWAY BIOTRANSFORMATION PHASE I AND II%WIKIPATHWAYS_20210210%WP702%HOMO SAPIENS	156	66		
HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CARCINOMA PATHWAY%WIKIPATHWAYS_20210210%WP4206%HOMO SAPIENS	15		Rejected!	
HFE EFFECT ON HEPCIDIN PRODUCTION%WIKIPATHWAYS_20210210%WP3924%HOMO SAPIENS	5		Rejected!	
TYPE 2 PAPILLARY RENAL CELL CARCINOMA%WIKIPATHWAYS_20210210%WP4241%HOMO SAPIENS	24	21		
BLOOD CLOTTING CASCADE%WIKIPATHWAYS_20210210%WP272%HOMO SAPIENS	18		Rejected!	
TGF-BETA SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP366%HOMO SAPIENS	109	90		
SENESCENCE AND AUTOPHAGY IN CANCER%WIKIPATHWAYS_20210210%WP615%HOMO SAPIENS	90	65		
DIFFERENTIATION OF WHITE AND BROWN ADIPOCYTE   %WIKIPATHWAYS_20210210%WP2895%HOMO SAPIENS	24		Rejected!	
IMATINIB AND CHRONIC MYELOID LEUKEMIA%WIKIPATHWAYS_20210210%WP3640%HOMO SAPIENS	17		Rejected!	
SEROTONIN RECEPTOR 2 AND STAT3 SIGNALING%WIKIPATHWAYS_20210210%WP733%HOMO SAPIENS	3		Rejected!	
EICOSANOID SYNTHESIS%WIKIPATHWAYS_20210210%WP167%HOMO SAPIENS	20		Rejected!	
HYPOXIA-MEDIATED EMT AND STEMNESS%WIKIPATHWAYS_20210210%WP2943%HOMO SAPIENS	1		Rejected!	
